,Paper Title,Authors,Year,Publication Venue,Index ID
71,Microsoft Word 2003 Advanced,Pamela W. Adams,2005,,7
72,"Adaptive Multimedia Retrieval: First International Workshop, AMR 2003, Hamburg, Germany, September 15-16, 2003, Revised Selected and Invited Papers (Lecture Notes in Computer Science)","Andreas Nürnberger,Marcin Detyniecki",2004,,7
73,Mesoscopic simulation of Ostwald ripening,David J. Horntrop,2006,Journal of Computational Physics,7
74,Gungrave: 2006 Wall Calendar,Nightow Yoshiro,2005,,7
75,"Gurus, Hired Guns, and Warm Bodies: Itinerant Experts in a Knowledge Economy","Stephen R. Barley,Gideon Kunda",2006,,7
76,"Selected Areas in Cryptography: 12th International Workshop, SAC 2005, Kingston, ON, Canada, August 11-12, 2005, Revised Selected Papers (Lecture Notes in Computer Science)",Bart Preneel,2006,,7
77,The Prentice Hall Planner for Student Success,,2004,,7
78,Design team composition for high level language computer architectures,"Lyle A. Cox, Jr.,James R. McGraw,Charles S. Wetherell",1978,ACM SIGARCH Computer Architecture News,7
79,Keno Winner: A Guide To Winning At Video Keno,Tom Collins,2004,,8
80,Real World Aperture (Real World),Ben Long,2006,,8
81,"Making Projects Critical (Management, Work and Organisations)","Damian Hodgson,Svetlana Cicmil",2006,,8
82,The Internet: A Critical Introduction,Korinna Patelis,2007,,8
83,"It's a Mad, Mad, Mad, Mad Mac/Book and Disk",Carla Rose,1994,,8
84,Java for Everyone,Cay S. Horstmann,2007,,8
85,Three-Level Caching for Efficient Query Processing in Large Web Search Engines,"Xiaohui Long,Torsten Suel",2006,World Wide Web,8
86,Essentials for Design Adobe Illustrator CS 2 - Level 1 (2nd Edition) (Essentials for Design),Dean Bagley,2005,,8
87,Operations Research: Macintosh Version (Business Statistics Series),Wayne L. Winston,1994,,8
88,Creative Code: Ästhetik und Programmierung am MIT Media Lab,"John Maeda,Red Burns",2006,,8
89,The Game Producer's Handbook,Dan Irish,2005,,9
90,"Visual Basic 2005 Demystified, 1 edition",Jeff Kent,2005,,9
91,Oracle 10g PL/SQL: Guia de Consulta Rápida,Celso H. Poderoso de Oliveira,2005,,9
92,"CompTIA A+ Exam Cram (Exams 220-602, 220-603, 220-604) (Exam Cram)",Charles J. Brooks,2007,,9
93,On an initial transient deletion rule with rigorous theoretical support,"Hernan P. Awad,Peter W. Glynn",2006,Proceedings of the 38th conference on Winter simulation,9
94,Microsoft Powerpoint 2003 (Marquee Series),"Nita Hewitt Rutkosky,Denise Seguin",2004,,9
95,"MICAI 2006: Advances in Artificial Intelligence: 5th Mexican International Conference on Artificial IntelligenceApizaco, Mexico, November 13-17, 2006Proceedings (Lecture Notes in Computer Science)","Alexander Gelbukh,Carlos Alberto Reyes-Garcia",2006,,9
96,Tarski's World 3.0: Including the Macintosh TM Program (Center for the Study of Language and Information - Lecture Notes),"Jon Barwise,John Etchemendy",1991,,9
97,Special issue: Dialog systems for health communications,,2006,Journal of Biomedical Informatics,9
98,Internet and HTML Training on CD-ROM,,1995,,9
99,Elsevier's Dictionary of Wild and Cultivated Plants,W. E. Clason,1997,,1
